<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>Bright Stars Catalog (from HEASARC)</CatalogType>
  <Description>Bright Star Catalog</Description>
  <VisualMagnitudeLimit>14.7</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>Hoffleit, Warren</Author>
  <Date>2014-01-31 14:09:17</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/star-catalog/bsc5p.html</Source>
  <Comments>
    Catalog covers 88 Constellations and contains 9096 Objects.
    File was saved: Mon Jul 06 16:49:58 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
  <Data>
    HR 1,0.086080,45.229200,6.700000,And,,
    HR 8,0.110220,29.021400,6.130000,And,,
    HR 15,0.139807,29.090600,2.060000,And,21Alp And,
    HR 17,0.144720,36.626700,6.190000,And,,
    HR 27,0.172027,46.072200,5.030000,And,22 And,
    HR 36,0.199747,48.152500,6.160000,And,,
    HR 38,0.214000,37.693300,6.730000,And,,
    HR 40,0.223333,26.987200,6.300000,And,,
    HR 41,0.225220,41.035300,5.720000,And,23 And,
    HR 44,0.233973,33.206100,6.250000,And,,
    HR 52,0.251947,31.535800,6.450000,And,,
    HR 53,0.252947,27.283100,6.350000,And,,
    HR 56,0.272667,43.594700,6.150000,And,,
    HR 63,0.284860,38.681700,4.610000,And,24The And,
    HR 68,0.305473,36.785300,4.520000,And,25Sig And,
    HR 70,0.311693,43.791100,6.110000,And,26 And,
    HR 71,0.310640,31.517200,5.870000,And,,
    HR 75,0.328220,40.729700,6.330000,And,,
    HR 78,0.340113,30.935800,5.900000,And,,
    HR 79,0.345973,32.911400,5.790000,And,,
    HR 82,0.352027,37.968600,5.180000,And,27Rho And,
    HR 90,0.400553,38.577200,7.390000,And,,
    HR 104,0.470473,44.394400,5.170000,And,,
    HR 110,0.482387,36.900000,6.260000,And,,
    HR 114,0.502027,29.751700,5.230000,And,28 And,
    HR 122,0.523780,33.581700,5.870000,And,,
    HR 128,0.540780,43.494700,6.700000,And,,
    HR 133,0.542920,27.580600,6.670000,And,,
    HR 134,0.546973,28.280300,6.300000,And,,
    HR 149,0.605553,27.254700,6.500000,And,,
    HR 152,0.612947,44.488600,5.130000,And,,
    HR 154,0.614693,33.719400,4.360000,And,29Pi And,
    HR 156,0.618667,24.014200,6.470000,And,,
    HR 157,0.622527,35.399400,5.480000,And,,
    HR 163,0.642587,29.311700,4.370000,And,30Eps And,
    HR 165,0.655473,30.860800,3.270000,And,31Del And,
    HR 175,0.685333,39.458600,5.330000,And,32 And,
    HR 178,0.693333,24.629200,6.040000,And,,
    HR 205,0.769693,44.861400,6.050000,And,,
    HR 215,0.788973,24.267200,4.060000,And,34Zet And,
    HR 226,0.830220,41.078900,4.530000,And,35Nu And,
    HR 234,0.838420,45.002200,6.150000,And,,
    HR 246,0.881500,38.548600,6.690000,And,,
    HR 249,0.891167,37.418100,6.060000,And,,
    HR 258,0.916113,23.628300,5.470000,And,36 And,
    HR 269,0.945887,38.499400,3.870000,And,37Mu And,
    HR 271,0.953447,23.417500,4.420000,And,38Eta And,
    HR 272,0.961027,45.839700,6.120000,And,,
    HR 275,0.970613,33.950800,5.980000,And,,
    HR 282,1.000947,44.711100,6.840000,And,,
    HR 283,1.001000,44.713300,6.040000,And,,
    HR 289,1.050420,47.376100,6.450000,And,,
    HR 290,1.048413,41.345000,5.980000,And,39 And,
    HR 305,1.076780,39.991100,6.720000,And,,
    HR 324,1.133580,43.941900,5.030000,And,41 And,
    HR 335,1.158387,47.241900,4.250000,And,42Phi And,
    HR 337,1.162193,35.620600,2.060000,And,43Bet And,
    HR 340,1.171887,42.081400,5.650000,And,44 And,
    HR 348,1.186193,37.724200,5.810000,And,45 And,
    HR 355,1.209447,45.337800,6.110000,And,,
    HR 369,1.273473,48.082200,6.610000,And,,
    HR 372,1.284747,44.901900,6.340000,And,,
    HR 376,1.302833,47.419700,6.250000,And,,
    HR 379,1.313053,37.386100,6.460000,And,,
    HR 390,1.372333,45.528900,4.880000,And,46Xi And,
    HR 395,1.394613,37.715000,5.580000,And,47 And,
    HR 396,1.393747,34.245800,6.290000,And,,
    HR 409,1.438500,43.457800,5.960000,And,,
    HR 410,1.435747,34.579700,6.310000,And,,
    HR 415,1.451720,34.377500,6.270000,And,,
    HR 417,1.460947,45.406700,4.830000,And,48Ome And,
    HR 418,1.457387,41.100600,6.460000,And,,
