<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>Orion Nebula Cluster Catalog (from HEASARC)</CatalogType>
  <Description>Orion Nebula Cluster Chandra HRC Optical Sample</Description>
  <VisualMagnitudeLimit>14.7</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>Flaccomio et al.</Author>
  <Date>2007-05-17 20:18:25</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/chandra/onccxoopt.html</Source>
  <Comments>
    Catalog covers 1 Constellations and contains 696 Objects.
    File was saved: Mon Jul 06 16:56:39 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
  <Data>
    [FDM2003] Opt 1,5.570225,-5.480078,,Ori,,
    [FDM2003] Opt 2,5.570664,-5.471325,,Ori,,
    [FDM2003] Opt 3,5.571431,-5.484569,,Ori,,
    [FDM2003] Opt 4,5.571644,-5.559292,,Ori,,
    [FDM2003] Opt 5,5.572053,-5.453344,,Ori,,
    [FDM2003] Opt 6,5.572075,-5.505553,,Ori,,
    [FDM2003] Opt 7,5.572400,-5.543122,,Ori,,
    [FDM2003] Opt 8,5.572422,-5.391439,,Ori,,
    [FDM2003] Opt 9,5.572478,-5.413481,,Ori,,
    [FDM2003] Opt 10,5.572867,-5.374169,,Ori,,
    [FDM2003] Opt 11,5.573303,-5.476344,,Ori,,
    [FDM2003] Opt 12,5.573528,-5.369567,,Ori,,
    [FDM2003] Opt 13,5.573564,-5.368211,,Ori,,
    [FDM2003] Opt 14,5.573644,-5.537189,,Ori,,
    [FDM2003] Opt 15,5.573917,-5.405306,,Ori,,
    [FDM2003] Opt 16,5.574008,-5.390008,,Ori,,
    [FDM2003] Opt 17,5.574086,-5.328183,,Ori,,
    [FDM2003] Opt 18,5.574161,-5.541450,,Ori,,
    [FDM2003] Opt 19,5.574181,-5.280203,,Ori,,
    [FDM2003] Opt 20,5.574336,-5.532075,,Ori,,
    [FDM2003] Opt 21,5.574403,-5.442967,,Ori,,
    [FDM2003] Opt 22,5.574481,-5.444364,,Ori,,
    [FDM2003] Opt 23,5.574569,-5.416158,,Ori,,
    [FDM2003] Opt 24,5.574806,-5.431108,,Ori,,
    [FDM2003] Opt 25,5.574831,-5.393794,,Ori,,
    [FDM2003] Opt 26,5.574978,-5.421550,,Ori,,
    [FDM2003] Opt 27,5.575114,-5.365547,,Ori,,
    [FDM2003] Opt 28,5.575300,-5.365608,,Ori,,
    [FDM2003] Opt 29,5.575333,-5.481936,,Ori,,
    [FDM2003] Opt 30,5.575444,-5.474167,,Ori,,
    [FDM2003] Opt 31,5.575508,-5.443614,,Ori,,
    [FDM2003] Opt 32,5.575539,-5.461867,,Ori,,
    [FDM2003] Opt 33,5.575553,-5.190344,,Ori,,
    [FDM2003] Opt 34,5.575722,-5.352153,,Ori,,
    [FDM2003] Opt 35,5.575975,-5.369197,,Ori,,
    [FDM2003] Opt 36,5.576042,-5.455067,,Ori,,
    [FDM2003] Opt 37,5.576075,-5.473531,,Ori,,
    [FDM2003] Opt 38,5.576403,-5.536300,,Ori,,
    [FDM2003] Opt 39,5.576414,-5.575772,,Ori,,
    [FDM2003] Opt 40,5.576558,-5.497825,,Ori,,
    [FDM2003] Opt 41,5.576636,-5.256806,,Ori,,
    [FDM2003] Opt 42,5.576947,-5.519172,,Ori,,
    [FDM2003] Opt 43,5.577044,-5.581231,,Ori,,
    [FDM2003] Opt 44,5.577108,-5.439367,,Ori,,
    [FDM2003] Opt 45,5.577228,-5.461286,,Ori,,
    [FDM2003] Opt 46,5.577261,-5.406644,,Ori,,
    [FDM2003] Opt 47,5.577694,-5.290197,,Ori,,
    [FDM2003] Opt 48,5.577722,-5.445033,,Ori,,
    [FDM2003] Opt 49,5.577758,-5.434464,,Ori,,
    [FDM2003] Opt 50,5.577758,-5.168683,,Ori,,
    [FDM2003] Opt 51,5.577981,-5.444108,,Ori,,
    [FDM2003] Opt 52,5.577986,-5.469331,,Ori,,
    [FDM2003] Opt 53,5.577992,-5.378486,,Ori,,
    [FDM2003] Opt 54,5.578017,-5.433347,,Ori,,
    [FDM2003] Opt 55,5.578192,-5.573700,,Ori,,
    [FDM2003] Opt 56,5.578206,-5.399358,,Ori,,
    [FDM2003] Opt 57,5.578231,-5.448097,,Ori,,
    [FDM2003] Opt 58,5.578261,-5.363800,,Ori,,
    [FDM2003] Opt 59,5.578425,-5.210700,,Ori,,
