<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>Reflection Nebulae Catalog (from HEASARC)</CatalogType>
  <Description>Merged Catalog of Reflection Nebulae</Description>
  <VisualMagnitudeLimit>14.7</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>Magakian</Author>
  <Date>2012-10-31 12:44:08</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/nebula-catalog/refnebulae.html</Source>
  <Comments>
    Catalog covers 42 Constellations and contains 913 Objects.
    File was saved: Mon Jul 06 16:57:13 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
  <Data>
    [M2003] 902,23.031944,42.326111,,And,omicron And,large
    [M2003] 907,23.631111,48.496667,,And,,
    [M2003] 712,17.387500,-78.725556,,Aps,,
    [M2003] 780,18.991389,1.196944,,Aql,,
    [M2003] 785,19.338611,11.365000,,Aql,GM1-76 RNO109,
    [M2003] 787,19.433611,15.556111,,Aql,,double star
    [M2003] 795,19.483611,9.645556,,Aql,P21,
    [M2003] 804,19.812778,11.670278,,Aql,RNO112,
    [M2003] 805,19.931389,6.607778,,Aql,,
    [M2003] 806,20.014444,13.379167,,Aql,,blue faint
    [M2003] 810,20.188611,-0.822778,,Aql,theta Aql,too large
    [M2003] 674,16.633611,-48.850556,,Ara,,near NGC6193
    [M2003] 675,16.636111,-48.865833,,Ara,,
    [M2003] 676,16.643056,-48.913056,,Ara,,near NGC6193
    [M2003] 677,16.666667,-48.783056,,Ara,,near NGC6193
    [M2003] 679,16.746389,-49.904722,,Ara,,
    [M2003] 685,16.810278,-48.079167,,Ara,GRV19,near NGC6193
    [M2003] 686,16.826389,-47.023611,,Ara,,
    [M2003] 688,16.921944,-46.420833,,Ara,,
    [M2003] 690,16.928611,-46.462500,,Ara,,
    [M2003] 693,16.971667,-50.641667,,Ara,,
    [M2003] 694,16.976667,-45.787778,,Ara,,
    [M2003] 695,16.982500,-46.129167,,Ara,V848 Ara,near NGC6250
    [M2003] 701,17.066944,-51.083889,,Ara,,several stars; in faint HII region
    [M2003] 706,17.187222,-46.118056,,Ara,,
    [M2003] 707,17.187778,-45.900278,,Ara,,several stars
    [M2003] 708,17.188056,-45.978333,,Ara,,
    [M2003] 34,3.399722,30.280000,,Ari,GM1-2,
    [M2003] 35,3.419444,30.772500,,Ari,GM1-55,
    [M2003] 37,3.430556,30.931667,,Ari,,
    [M2003] 38,3.463333,30.201111,,Ari,GM1-13,
    [M2003] 40,3.472500,29.798333,,Ari,,
    [M2003] 42,3.481111,30.750833,,Ari,LkHa325,
    [M2003] 87,4.929444,30.551389,,Aur,AB Aur,
    [M2003] 88,4.949167,51.513889,,Aur,V347 Aur GM1-3,
    [M2003] 89,5.039444,44.268611,,Aur,,
    [M2003] 92,5.240833,32.801389,,Aur,,4-5 stars with nebulae; not galaxies
    [M2003] 95,5.271667,34.313611,,Aur,AE Aur,
    [M2003] 98,5.408056,32.818889,,Aur,,
    [M2003] 100,5.452222,38.520556,,Aur,,
    [M2003] 102,5.500556,33.402222,,Aur,,2-3 nebulae
    [M2003] 111,5.611389,31.853889,,Aur,,
    [M2003] 117,5.630000,31.988056,,Aur,GL5157,
    [M2003] 119,5.646389,30.701667,,Aur,,IRAS source could be a small galaxy
    [M2003] 126,5.664722,36.336389,,Aur,RNO50 NS6,
    [M2003] 145,5.773056,35.224444,,Aur,,
    [M2003] 150,5.786667,30.603333,,Aur,GM3-5,4 nebulae
    [M2003] 164,6.005556,31.941389,,Aur,,
    [M2003] 167,6.066389,30.256389,,Aur,Sh241,
    [M2003] 168,6.069444,31.492778,,Aur,,
    [M2003] 170,6.076111,30.505278,,Aur,,2 nebulae
    [M2003] 33,3.404167,61.538611,,Cam,,
    [M2003] 39,3.484167,59.941944,,Cam,,
    [M2003] 43,3.498611,58.880278,,Cam,,
    [M2003] 47,3.701944,62.499167,,Cam,,
    [M2003] 86,4.900556,66.344722,,Cam,alpha Cam,
    [M2003] 271,7.461389,-51.086667,,Car,CG16,
    [M2003] 302,7.947500,-59.126944,,Car,V341 Car,
    [M2003] 323,8.153889,-52.455000,,Car,,group
    [M2003] 325,8.195278,-52.554722,,Car,,pair
    [M2003] 389,8.740000,-59.948611,,Car,,2 bright stars
    [M2003] 483,10.024444,-57.711944,,Car,,several condensations
    [M2003] 484,10.025833,-57.800556,,Car,,
