<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>SAO J2000 Star Catalog (from HEASARC)</CatalogType>
  <Description>Smithsonian Astrophysical Observatory Star Catalog</Description>
  <VisualMagnitudeLimit>6.5</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>SAO</Author>
  <Date>2007-10-31 18:05:07</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/star-catalog/sao.html</Source>
  <Comments>
    Catalog covers 88 Constellations and contains 9023 Objects.
    File was saved: Mon Jul 06 16:58:37 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
  <Data>
    SAO 23047,2.226762,51.065861,5.400000,And,,
    SAO 23319,2.427058,50.278633,4.900000,And,,
    SAO 23353,2.464394,50.569856,6.300000,And,,
    SAO 35022,22.986192,52.654375,6.400000,And,,
    SAO 35151,23.119484,52.816411,6.300000,And,,
    SAO 35251,23.237314,50.617892,6.300000,And,,
    SAO 35642,23.652321,50.471661,5.300000,And,,
    SAO 36037,0.076867,42.092261,6.000000,And,,
    SAO 36042,0.086080,45.229072,6.500000,And,,
    SAO 36123,0.172017,46.072269,5.100000,And,,
    SAO 36148,0.199741,48.152608,6.300000,And,,
    SAO 36173,0.225246,41.035428,5.700000,And,,
    SAO 36221,0.272662,43.594828,6.000000,And,,
    SAO 36256,0.311701,43.791114,6.000000,And,,
    SAO 36269,0.328210,40.729661,6.400000,And,,
    SAO 36390,0.470488,44.394494,5.200000,And,,
    SAO 36453,0.540774,43.494817,6.400000,And,,
    SAO 36509,0.612934,44.488614,5.400000,And,,
    SAO 36640,0.769682,44.861422,6.000000,And,,
    SAO 36699,0.830234,41.078872,4.400000,And,,
    SAO 36702,0.838421,45.002161,6.100000,And,,
    SAO 36795,0.961018,45.839736,6.200000,And,,
    SAO 36833,1.000996,44.713306,6.000000,And,,
    SAO 36874,1.048408,41.345131,5.900000,And,,
    SAO 36875,1.050422,47.376106,6.400000,And,,
    SAO 36950,1.133581,43.942208,5.200000,And,,
    SAO 36972,1.158382,47.241806,4.300000,And,,
    SAO 36984,1.171866,42.081492,5.700000,And,,
    SAO 37067,1.273497,48.082225,6.500000,And,,
    SAO 37077,1.284737,44.901894,6.500000,And,,
    SAO 37096,1.302837,47.419814,6.400000,And,,
    SAO 37155,1.372340,45.528750,5.000000,And,,
    SAO 37204,1.438503,43.457731,6.100000,And,,
    SAO 37227,1.457388,41.100428,6.400000,And,,
    SAO 37228,1.460923,45.406756,5.000000,And,,
    SAO 37234,1.463049,40.335508,6.400000,And,,
    SAO 37275,1.501721,47.007228,5.300000,And,,
    SAO 37344,1.597923,41.076431,6.400000,And,,
    SAO 37351,1.607563,48.722806,6.200000,And,,
    SAO 37362,1.613286,41.405433,4.200000,And,,
    SAO 37375,1.633215,48.628214,3.800000,And,,
    SAO 37393,1.642132,45.400114,6.300000,And,,
    SAO 37406,1.655833,44.386133,5.200000,And,,
    SAO 37418,1.676328,40.577003,4.900000,And,,
    SAO 37419,1.677724,43.297736,5.500000,And,,
    SAO 37434,1.696432,42.613494,5.100000,And,,
    SAO 37460,1.721261,45.322097,6.500000,And,,
    SAO 37475,1.740696,46.139819,6.500000,And,,
    SAO 37513,1.796666,46.229700,6.300000,And,,
    SAO 37587,1.888165,40.729800,5.600000,And,,
    SAO 37607,1.914938,40.702075,6.500000,And,,
    SAO 37648,1.966442,47.095603,6.500000,And,,
    SAO 37734,2.064994,42.329711,2.300000,And,,
    SAO 37735,2.065203,42.330867,5.100000,And,,
    SAO 37794,2.142654,44.459372,6.500000,And,,
    SAO 37867,2.220363,44.231750,5.100000,And,,
    SAO 37878,2.234044,47.484133,6.000000,And,,
    SAO 37905,2.266081,47.811508,6.400000,And,,
    SAO 37947,2.319686,46.472433,6.100000,And,,
    SAO 37948,2.321331,47.379992,5.100000,And,,
    SAO 37949,2.322973,48.955347,6.400000,And,,
    SAO 37955,2.344845,47.310908,6.100000,And,,
    SAO 37960,2.349493,50.151464,5.600000,And,,
    SAO 37986,2.380606,41.396183,5.900000,And,,
    SAO 38005,2.406912,50.006533,5.500000,And,,
    SAO 52587,23.009569,45.375028,6.400000,And,,
    SAO 52609,23.032019,42.326014,3.600000,And,,
    SAO 52616,23.036501,44.572942,6.500000,And,,
    SAO 52623,23.043427,42.757822,5.100000,And,,
    SAO 52626,23.045879,44.058906,6.300000,And,,
